English Name (BirdLife > IOC > Clements>AviList),Latin (BirdLife > IOC > Clements>AviList),HBW/BirdLife International (v9.1),IOC World Bird List (v15.1),eBird/Clements (V2024b),AviList v1 2025,Order,Family IOC 15.1,Family Clements v2024b,Family HBW/BirdLife v9.1 (2024),Family AviList v1 2025,Genus,Species,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Avocetbill,Opisthoprora euryptera,Opisthoprora euryptera,Opisthoprora euryptera,Opisthoprora euryptera,Opisthoprora euryptera,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Opisthoprora,euryptera,5.5,6.2000000000000002,6.4000000000000004,7.5,,,6.40,1700,2400,1200,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-tailed Trainbearer,Lesbia victoriae,Lesbia victoriae,Lesbia victoriae,Lesbia victoriae,Lesbia victoriae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lesbia,victoriae,,,,,4.5,5.2999999999999998,4.90,,2600,1400,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-tailed Trainbearer,Lesbia nuna,Lesbia nuna,Lesbia nuna,Lesbia nuna,Lesbia nuna,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lesbia,nuna,3.7999999999999998,,,,3.1000000000000001,4.2999999999999998,3.73,,1700,2100,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-backed Thornbill,Ramphomicron dorsale,Ramphomicron dorsale,Ramphomicron dorsale,Ramphomicron dorsale,Ramphomicron dorsale,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Ramphomicron,dorsale,,,,,3.5,,3.50,,2000,2600,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple-backed Thornbill,Ramphomicron microrhynchum,Ramphomicron microrhynchum,Ramphomicron microrhynchum,Ramphomicron microrhynchum,Ramphomicron microrhynchum,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Ramphomicron,microrhynchum,,,,,3,3.6000000000000001,3.30,,1700,1900,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Mountaineer,Oreonympha nobilis,Oreonympha nobilis,Oreonympha nobilis,Oreonympha nobilis,Oreonympha nobilis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oreonympha,nobilis,9,,,,7,9,8.33,,2500,1400,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffy Helmetcrest,Oxypogon stuebelii,Oxypogon stuebelii,Oxypogon stuebelii,Oxypogon stuebelii,Oxypogon stuebelii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oxypogon,stuebelii,,,6,,4.7999999999999998,,5.40,,3000,2200,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-bearded Helmetcrest,Oxypogon cyanolaemus,Oxypogon cyanolaemus,Oxypogon cyanolaemus,Oxypogon cyanolaemus,Oxypogon cyanolaemus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oxypogon,cyanolaemus,,,,,4.7999999999999998,,4.80,,3000,1800,4800,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-bearded Helmetcrest,Oxypogon lindenii,Oxypogon lindenii,Oxypogon lindenii,Oxypogon lindenii,Oxypogon lindenii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oxypogon,lindenii,,,,,4.7999999999999998,,4.80,2800,3600,900,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-bearded Helmetcrest,Oxypogon guerinii,Oxypogon guerinii,Oxypogon guerinii,Oxypogon guerinii,Oxypogon guerinii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oxypogon,guerinii,4.4000000000000004,5.2000000000000002,4.9000000000000004,6.2000000000000002,,,5.18,,3000,2200,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze-tailed Thornbill,Chalcostigma heteropogon,Chalcostigma heteropogon,Chalcostigma heteropogon,Chalcostigma heteropogon,Chalcostigma heteropogon,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chalcostigma,heteropogon,,,,,5,6.2999999999999998,5.65,2900,3000,900,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow-bearded Thornbill,Chalcostigma herrani,Chalcostigma herrani,Chalcostigma herrani,Chalcostigma herrani,Chalcostigma herrani,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chalcostigma,herrani,5.0999999999999996,6.2999999999999998,5.7000000000000002,7.9000000000000004,5.0999999999999996,7,6.18,,2700,1000,3700,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous-capped Thornbill,Chalcostigma ruficeps,Chalcostigma ruficeps,Chalcostigma ruficeps,Chalcostigma ruficeps,Chalcostigma ruficeps,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chalcostigma,ruficeps,3.7999999999999998,,,,3.2999999999999998,3.8999999999999999,3.67,,1400,2100,3500,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivaceous Thornbill,Chalcostigma olivaceum,Chalcostigma olivaceum,Chalcostigma olivaceum,Chalcostigma olivaceum,Chalcostigma olivaceum,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chalcostigma,olivaceum,6.5999999999999996,,8.1999999999999993,,,,7.40,,3100,1600,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-mantled Thornbill,Chalcostigma stanleyi,Chalcostigma stanleyi,Chalcostigma stanleyi,Chalcostigma stanleyi,Chalcostigma stanleyi,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chalcostigma,stanleyi,4.5,,6.2000000000000002,,4.2000000000000002,6.2000000000000002,5.27,2200,3000,1200,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrian Metaltail,Metallura tyrianthina,Metallura tyrianthina,Metallura tyrianthina,Metallura tyrianthina,Metallura tyrianthina,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Metallura,tyrianthina,3.7999999999999998,,3.3999999999999999,3.6000000000000001,2.7000000000000002,5.0999999999999996,3.72,600,2000,1300,3300,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perija Metaltail,Metallura iracunda,Metallura iracunda,Metallura iracunda,Metallura iracunda,Metallura iracunda,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Metallura,iracunda,,,,,3.6000000000000001,4.0999999999999996,3.85,1850,2400,800,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viridian Metaltail,Metallura williami,Metallura williami,Metallura williami,Metallura williami,Metallura williami,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Metallura,williami,4.7999999999999998,,4.2000000000000002,,4.0999999999999996,5.2999999999999998,4.60,2100,2700,1300,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violet-throated Metaltail,Metallura baroni,Metallura baroni,Metallura baroni,Metallura baroni,Metallura baroni,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Metallura,baroni,3.8999999999999999,5,4.2999999999999998,4.5,4.2999999999999998,,4.40,1900,3000,900,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neblina Metaltail,Metallura odomae,Metallura odomae,Metallura odomae,Metallura odomae,Metallura odomae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Metallura,odomae,4.7000000000000002,5.0999999999999996,5,5.4000000000000004,4.7000000000000002,5.4000000000000004,5.05,2600,2900,500,3400,3650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppery Metaltail,Metallura theresiae,Metallura theresiae,Metallura theresiae,Metallura theresiae,Metallura theresiae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Metallura,theresiae,5,,4.7999999999999998,,4.9000000000000004,5,4.93,,2800,750,3550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire-throated Metaltail,Metallura eupogon,Metallura eupogon,Metallura eupogon,Metallura eupogon,Metallura eupogon,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Metallura,eupogon,,,,,4.5999999999999996,5,4.80,,2900,1100,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaled Metaltail,Metallura aeneocauda,Metallura aeneocauda,Metallura aeneocauda,Metallura aeneocauda,Metallura aeneocauda,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Metallura,aeneocauda,,,,,5.2000000000000002,5.4000000000000004,5.30,2500,3000,600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Metaltail,Metallura phoebe,Metallura phoebe,Metallura phoebe,Metallura phoebe,Metallura phoebe,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Metallura,phoebe,5.9000000000000004,,5.5999999999999996,,5.4000000000000004,6.0300000000000002,5.73,1500,2700,1800,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenish Puffleg,Haplophaedia aureliae,Haplophaedia aureliae,Haplophaedia aureliae,Haplophaedia aureliae,Haplophaedia aureliae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Haplophaedia,aureliae,6.5,,,,4,6.5,5.67,,1500,1000,2500,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff-thighed Puffleg,Haplophaedia assimilis,Haplophaedia assimilis,Haplophaedia assimilis,Haplophaedia assimilis,Haplophaedia assimilis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Haplophaedia,assimilis,,,,,4.0999999999999996,6,5.05,,1500,1000,2500,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoary Puffleg,Haplophaedia lugens,Haplophaedia lugens,Haplophaedia lugens,Haplophaedia lugens,Haplophaedia lugens,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Haplophaedia,lugens,,,,,5,8.8000000000000007,6.90,,1200,1300,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-breasted Puffleg,Eriocnemis nigrivestis,Eriocnemis nigrivestis,Eriocnemis nigrivestis,Eriocnemis nigrivestis,Eriocnemis nigrivestis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,nigrivestis,,,,,4.2999999999999998,4.5999999999999996,4.45,,2400,2200,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgeted Puffleg,Eriocnemis isabellae,Eriocnemis isabellae,Eriocnemis isabellae,Eriocnemis isabellae,Eriocnemis isabellae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,isabellae,,,3.8999999999999999,4.5,4.5,,4.30,,2600,300,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glowing Puffleg,Eriocnemis vestita,Eriocnemis vestita,Eriocnemis vestita,Eriocnemis vestita,Eriocnemis vestita,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,vestita,3.6000000000000001,5.2999999999999998,3.2999999999999998,7.2000000000000002,3.8999999999999999,5,4.72,2250,2800,700,3500,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-thighed Puffleg,Eriocnemis derbyi,Eriocnemis derbyi,Eriocnemis derbyi,Eriocnemis derbyi,Eriocnemis derbyi,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,derbyi,,,,,5,5.5,5.25,2500,2900,700,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turquoise-throated Puffleg,Eriocnemis godini,Eriocnemis godini,Eriocnemis godini,Eriocnemis godini,Eriocnemis godini,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,godini,,,,,5.0599999999999996,,5.06,,2100,200,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppery-bellied Puffleg,Eriocnemis cupreoventris,Eriocnemis cupreoventris,Eriocnemis cupreoventris,Eriocnemis cupreoventris,Eriocnemis cupreoventris,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,cupreoventris,,,,,4.4000000000000004,5.7999999999999998,5.10,2000,2500,500,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire-vented Puffleg,Eriocnemis luciani,Eriocnemis luciani,Eriocnemis luciani,Eriocnemis luciani,Eriocnemis luciani,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,luciani,5.4000000000000004,6.2000000000000002,5.7999999999999998,6.4000000000000004,5.4000000000000004,7.0999999999999996,6.05,,2400,1300,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden-breasted Puffleg,Eriocnemis mosquera,Eriocnemis mosquera,Eriocnemis mosquera,Eriocnemis mosquera,Eriocnemis mosquera,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,mosquera,5.7999999999999998,,5.2000000000000002,,5.2999999999999998,6.2000000000000002,5.62,1200,2600,1000,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-capped Puffleg,Eriocnemis glaucopoides,Eriocnemis glaucopoides,Eriocnemis glaucopoides,Eriocnemis glaucopoides,Eriocnemis glaucopoides,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,glaucopoides,,,,,3,4.5,3.75,1500,2000,500,2500,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorful Puffleg,Eriocnemis mirabilis,Eriocnemis mirabilis,Eriocnemis mirabilis,Eriocnemis mirabilis,Eriocnemis mirabilis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,mirabilis,,,,,5.0599999999999996,,5.06,,2200,240,2440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald-bellied Puffleg,Eriocnemis aline,Eriocnemis aline,Eriocnemis aline,Eriocnemis aline,Eriocnemis aline,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eriocnemis,aline,,,,,3,4.5,3.75,2000,2300,500,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvelous Spatuletail,Loddigesia mirabilis,Loddigesia mirabilis,Loddigesia mirabilis,Loddigesia mirabilis,Loddigesia mirabilis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Loddigesia,mirabilis,,,,,3,,3.00,,2100,800,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shining Sunbeam,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Aglaeactis,cupripennis,6.9000000000000004,7.5,7.5999999999999996,8.0999999999999996,7.5999999999999996,,7.54,,2500,1800,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-tufted Sunbeam,Aglaeactis castelnaudii,Aglaeactis castelnaudii,Aglaeactis castelnaudii,Aglaeactis castelnaudii,Aglaeactis castelnaudii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Aglaeactis,castelnaudii,,,,,6.2000000000000002,8.5,7.35,3100,3500,800,4300,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple-backed Sunbeam,Aglaeactis aliciae,Aglaeactis aliciae,Aglaeactis aliciae,Aglaeactis aliciae,Aglaeactis aliciae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Aglaeactis,aliciae,6.2999999999999998,,7.7000000000000002,,7.2999999999999998,8.3000000000000007,7.40,,3000,500,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-hooded Sunbeam,Aglaeactis pamela,Aglaeactis pamela,Aglaeactis pamela,Aglaeactis pamela,Aglaeactis pamela,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Aglaeactis,pamela,5.7999999999999998,,5.2000000000000002,,,,5.50,1800,2500,1700,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzy Inca,Coeligena coeligena,Coeligena coeligena,Coeligena coeligena,Coeligena coeligena,Coeligena coeligena,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,coeligena,6.2000000000000002,,7.2999999999999998,,6,8.5999999999999996,7.03,,1500,1100,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Inca,Coeligena wilsoni,Coeligena wilsoni,Coeligena wilsoni,Coeligena wilsoni,Coeligena wilsoni,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,wilsoni,6.5,,6.9000000000000004,7,4.7000000000000002,9.3000000000000007,6.88,,700,1200,1900,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Inca,Coeligena prunellei,Coeligena prunellei,Coeligena prunellei,Coeligena prunellei,Coeligena prunellei,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,prunellei,,,,,6.5999999999999996,7.4000000000000004,7.00,,1200,1600,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Inca,Coeligena conradii,Coeligena conradii,Coeligena conradii,Coeligena conradii,Coeligena conradii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,conradii,6.7000000000000002,,7.0999999999999996,,,,6.90,1500,1800,1200,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collared Inca,Coeligena torquata,Coeligena torquata,Coeligena torquata,Coeligena torquata,Coeligena torquata,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,torquata,4,10,3.7999999999999998,12.9,,,7.68,1500,1600,1600,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gould's Inca,Coeligena inca,Coeligena inca,Coeligena inca,Coeligena inca,Coeligena inca,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,inca,,,,,6.7999999999999998,7.2000000000000002,7.00,,1600,1600,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivian Starfrontlet,Coeligena violifer,Coeligena violifer,Coeligena violifer,Coeligena violifer,Coeligena violifer,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,violifer,4,6,7.7000000000000002,13,,,7.67,,1300,2400,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow Starfrontlet,Coeligena iris,Coeligena iris,Coeligena iris,Coeligena iris,Coeligena iris,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,iris,6,8.0999999999999996,6.7000000000000002,8.8000000000000007,6,8,7.27,,1700,1600,3300,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-tailed Starfrontlet,Coeligena phalerata,Coeligena phalerata,Coeligena phalerata,Coeligena phalerata,Coeligena phalerata,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,phalerata,,,,,5.4000000000000004,6.7999999999999998,6.10,,1400,2300,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glittering Starfrontlet,Coeligena orina,Coeligena orina,Coeligena orina,Coeligena orina,Coeligena orina,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,orina,6.7000000000000002,7,6.9000000000000004,7.2000000000000002,6.7000000000000002,7.2000000000000002,6.95,2500,3100,400,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff-winged Starfrontlet,Coeligena lutetiae,Coeligena lutetiae,Coeligena lutetiae,Coeligena lutetiae,Coeligena lutetiae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,lutetiae,6.5999999999999996,7,6.9000000000000004,7.5999999999999996,,,7.03,,2600,2200,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perija Starfrontlet,Coeligena consita,Coeligena consita,Coeligena consita,Coeligena consita,Coeligena consita,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,consita,,,,,6.4900000000000002,,6.49,,1400,1800,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden-bellied Starfrontlet,Coeligena bonapartei,Coeligena bonapartei,Coeligena bonapartei,Coeligena bonapartei,Coeligena bonapartei,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,bonapartei,3.2999999999999998,8.5,5.2999999999999998,10.1,,,6.80,,2150,850,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Starfrontlet,Coeligena eos,Coeligena eos,Coeligena eos,Coeligena eos,Coeligena eos,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,eos,6.4000000000000004,,6.7999999999999998,,6.5999999999999996,,6.60,,1400,1800,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-throated Starfrontlet,Coeligena helianthea,Coeligena helianthea,Coeligena helianthea,Coeligena helianthea,Coeligena helianthea,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Coeligena,helianthea,6,6.5,7,7.5999999999999996,,,6.78,,1900,1400,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Velvetbreast,Lafresnaya lafresnayi,Lafresnaya lafresnayi,Lafresnaya lafresnayi,Lafresnaya lafresnayi,Lafresnaya lafresnayi,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lafresnaya,lafresnayi,,,,,4.5,6.7000000000000002,5.60,1800,2000,800,2800,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
