English Name (BirdLife > IOC > Clements>AviList),Latin (BirdLife > IOC > Clements>AviList),HBW/BirdLife International (v9.1),IOC World Bird List (v15.1),eBird/Clements (V2024b),AviList v1 2025,Order,Family IOC 15.1,Family Clements v2024b,Family HBW/BirdLife v9.1 (2024),Family AviList v1 2025,Genus,Species,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koepcke's Hermit,Phaethornis koepckeae,Phaethornis koepckeae,Phaethornis koepckeae,Phaethornis koepckeae,Phaethornis koepckeae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,koepckeae,4.4000000000000004,4.9000000000000004,4.7000000000000002,5.7999999999999998,,,4.95,,450,850,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needle-billed Hermit,Phaethornis philippii,Phaethornis philippii,Phaethornis philippii,Phaethornis philippii,Phaethornis philippii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,philippii,4,5.5,4,6,5,,4.90,,L,NA,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight-billed Hermit,Phaethornis bourcieri,Phaethornis bourcieri,Phaethornis bourcieri,Phaethornis bourcieri,Phaethornis bourcieri,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,bourcieri,,,,,3.3999999999999999,5,4.20,,0,1600,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Hermit,Phaethornis mexicanus,Phaethornis mexicanus,Phaethornis mexicanus,Phaethornis mexicanus,Phaethornis mexicanus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,mexicanus,4.5,,,,,,4.50,,0,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-billed Hermit,Phaethornis longirostris,Phaethornis longirostris,Phaethornis longirostris,Phaethornis longirostris,Phaethornis longirostris,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,longirostris,4,6.5,5,7.5,6,,5.80,,0,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-tailed Hermit,Phaethornis superciliosus,Phaethornis superciliosus,Phaethornis superciliosus,Phaethornis superciliosus,Phaethornis superciliosus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,superciliosus,,,,,4,6.2999999999999998,5.15,,0,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great-billed Hermit,Phaethornis malaris,Phaethornis malaris,Phaethornis malaris,Phaethornis malaris,Phaethornis malaris,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,malaris,4,8,4.5,10,5.9000000000000004,,6.48,,0,2400,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-fronted Lancebill,Doryfera ludovicae,Doryfera ludovicae,Doryfera ludovicae,Doryfera ludovicae,Doryfera ludovicae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Doryfera,ludovicae,5.5,6,5.9000000000000004,7.0999999999999996,5.0999999999999996,6.0999999999999996,5.95,150,550,2050,2600,2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-fronted Lancebill,Doryfera johannae,Doryfera johannae,Doryfera johannae,Doryfera johannae,Doryfera johannae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Doryfera,johannae,3.2999999999999998,6,3,5,5.4000000000000004,,4.54,280,800,800,1600,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Wedge-billed Hummingbird,Schistes albogularis,Schistes albogularis,Schistes albogularis,Schistes albogularis,Schistes albogularis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Schistes,albogularis,,,3.8999999999999999,4.2000000000000002,3.5,4.0999999999999996,3.92,,800,1200,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
