"arbol_id","modelo_ganador","aic_browniano","aic_ou","intercepto","estimado","error_estandar","ic_inferior","ic_superior","valor_p"
"tree_4137","OU (corMartins)",139.439996571297,-83.5696002590427,1.54342043808575,0.0492391927654394,0.0111084894179948,0.0274669535835253,0.0710114319473536,1.3762027395268e-05
"tree_6074","OU (corMartins)",-2.22788953256008,-122.657841539193,1.57990992400115,0.0461251112694064,0.010907676530796,0.0247464581140334,0.0675037644247794,3.26264642546885e-05
"tree_1783","OU (corMartins)",-137.377569821223,-182.925075363302,1.59294796982067,0.0509816819420488,0.0100399379201249,0.031303765211586,0.0706595986725116,7.30217921581848e-07
"tree_9035","OU (corMartins)",-87.5455902765683,-156.496188031843,1.6345053544272,0.0339022218806942,0.0111168304328136,0.0121136346101408,0.0556908091512476,0.00252886809379866
"tree_0345","OU (corMartins)",-199.767538726546,-218.707697620951,1.73363450781742,-0.00296256678834216,0.00377155602654023,-0.010354680766036,0.00442954718935169,0.432876966441644
"tree_0065","OU (corMartins)",-29.821291013928,-129.639846705092,1.64165858213705,0.0222428715018807,0.00980484735422914,0.00302572381367879,0.0414600191900827,0.024118588232313
"tree_8834","OU (corMartins)",35.0541715523483,-108.649349730288,1.57730438798322,0.0466012598320235,0.0115463441533543,0.0239708411383445,0.0692316785257025,7.1626280369368e-05
"tree_4100","OU (corMartins)",756.98411618289,-82.1036778581112,1.53794482322804,0.0496526491967934,0.0109631989692387,0.0281651740617388,0.071140124331848,9.04822531259104e-06
"tree_0875","OU (corMartins)",350.091364665,-82.2533722966793,1.53779004916545,0.049728643141299,0.0109671941142035,0.0282333376660004,0.0712239486165976,8.84113079545826e-06
"tree_1704","OU (corMartins)",-96.0788311439107,-158.248801648384,1.61642688611297,0.0423524739437144,0.0109495171986629,0.0208918145862332,0.0638131333011955,0.000138889257394932
"tree_1270","OU (corMartins)",46.4180900569116,-95.4236164795619,1.58199457621454,0.0413104976842725,0.0118936675734935,0.0179993375961333,0.0646216577724117,0.000602332301064717
"tree_7080","OU (corMartins)",-118.796230746386,-175.147868136256,1.63716774110063,0.0281186909306145,0.0103676619343039,0.00779844693549203,0.048438934925737,0.00713246805311212
"tree_0294","Browniano (corBrownian) -- OU no convergio",25.7851212101635,NA,1.62035525557297,0.0890295925301045,0.0117603537520488,0.0659797227306384,0.112079462329571,6.55155059477975e-13
